ticker,avg_close,volatility,min,max,biggest_gain_date,biggest_gain_%,biggest_loss_date,biggest_loss_%
AAPL,226.04638794435556,20.133188383569024,171.9989776611328,271.3999938964844,2025-04-09,15.33,2025-04-03,-9.25
BLK,1022.2654561115556,86.68520873510165,807.60986328125,1202.5899658203125,2025-04-09,9.97,2025-04-03,-7.71
META,661.0653910809252,74.54808368971658,483.9607238769531,789.4671630859375,2025-04-09,14.76,2025-10-30,-11.33
MSFT,453.4358763177711,51.14519988042837,353.3294372558594,542.0700073242188,2025-04-09,10.13,2025-01-30,-6.18
PYPL,74.29829330137935,8.351148616825386,57.40999984741211,91.80999755859376,2025-04-09,11.39,2025-02-04,-13.17
SHOP,118.28835330335012,22.614833455037722,76.88999938964844,179.00999450683594,2025-08-06,21.97,2025-04-03,-18.24
