date,returns
2024-11-04,
2024-11-05,0.006486217676456851
2024-11-06,-0.0032669737018220513
2024-11-07,0.02137217856606699
2024-11-08,-0.0011882147854568315
2024-11-11,-0.012028591561573432
2024-11-12,0.0
2024-11-13,0.003969089994608321
2024-11-14,0.01377050629962362
2024-11-15,-0.01410923005190845
2024-11-18,0.01342218115173699
2024-11-19,0.0011403123448483488
2024-11-20,0.003154020989376116
2024-11-21,-0.0020960696120325695
2024-11-22,0.005907536598783958
2024-11-25,0.01305088708833968
2024-11-26,0.009404379438592514
2024-11-27,-0.0005530800860616969
2024-11-29,0.01021580821526169
2024-12-02,0.00952264260106972
2024-12-03,0.012771833107112718
2024-12-04,0.0014836497506192092
2024-12-05,0.0001233808002840675
2024-12-06,-0.0008229202409398839
2024-12-09,0.01610118003224148
2024-12-10,0.004133784664764217
2024-12-11,-0.005166060007357087
2024-12-12,0.00596372191861172
2024-12-13,0.0006855505870995149
2024-12-16,0.011727714118647148
2024-12-17,0.009719555250836232
2024-12-18,-0.02142176829734621
2024-12-19,0.007014698277349574
2024-12-20,0.018815889575554134
2024-12-23,0.0030649377249685195
2024-12-24,0.011478088022709887
2024-12-26,0.003175629272296643
2024-12-27,-0.013242143728976696
2024-12-30,-0.013263480512421655
2024-12-31,-0.007057864764119626
2025-01-02,-0.026235837028114828
2025-01-03,-0.002009429038061228
2025-01-06,0.006738933800222391
2025-01-07,-0.011387714496238432
2025-01-08,0.002022971646596483
2025-01-10,-0.024103742475309442
2025-01-13,-0.010344148734474978
2025-01-14,-0.00477817804434344
2025-01-15,0.019675849495587316
2025-01-16,-0.040400149273495445
2025-01-17,0.007535254651194867
2025-01-21,-0.03191584279123816
2025-01-22,0.005345022645830699
2025-01-23,-0.0007594563986100811
2025-01-24,-0.0039346339600490055
2025-01-27,0.0317802621637584
2025-01-28,0.03654397781653196
2025-01-29,0.004616767012398215
2025-01-30,-0.007394758446996441
2025-01-31,-0.006692095667732878
2025-02-03,-0.033856037191276944
2025-02-04,0.021007919138235298
2025-02-05,-0.0014174351429196985
2025-02-06,0.0032261479166786344
2025-02-07,-0.02396882780573384
2025-02-10,0.0011874050171847284
2025-02-11,0.021831854672898388
2025-02-12,0.018270080537830635
2025-02-13,0.01967330050413918
2025-02-14,0.01271062034444026
2025-02-18,-0.0005314876576547611
2025-02-19,0.001636168138018812
2025-02-20,0.003920451581851392
2025-02-21,-0.0011389815035129924
2025-02-24,0.006312374747486027
2025-02-25,-0.0002428439947396166
2025-02-26,-0.027040185366615455
2025-02-27,-0.012730873159711109
2025-02-28,0.019131905122169668
2025-03-03,-0.015754251313333967
2025-03-04,-0.008822382345904711
2025-03-05,-0.0008052953828130427
2025-03-06,-0.0017391944176557983
2025-03-07,0.01589256603004152
2025-03-10,-0.04847955156408412
2025-03-11,-0.029189347007243738
2025-03-12,-0.01747876781169988
2025-03-13,-0.03364361039356378
2025-03-14,0.018170583894774106
2025-03-17,0.002388816946306438
2025-03-18,-0.006121528964846634
2025-03-19,0.011989299247109786
2025-03-20,-0.005296369796450651
2025-03-21,0.0194768206351692
2025-03-24,0.011270452024841005
2025-03-25,0.013681912241200633
2025-03-26,-0.009921878605060552
2025-03-27,0.010472673711788838
2025-03-28,-0.026580295812363208
2025-03-31,0.019412618437147255
2025-04-01,0.004771943413171442
2025-04-02,0.0031363286964034565
2025-04-03,-0.09245607048480553
2025-04-04,-0.0728874274536283
2025-04-07,-0.0367342786061855
2025-04-08,-0.049818154997102404
2025-04-09,0.15328847459654016
2025-04-10,-0.042393726837042345
2025-04-11,0.04059436926686022
2025-04-14,0.02205407661995684
2025-04-15,-0.001876367594633943
2025-04-16,-0.038933417075920906
2025-04-17,0.013949665806890499
2025-04-21,-0.019392891310289984
2025-04-22,0.034065110587777614
2025-04-23,0.02433168803229968
2025-04-24,0.018426088780694627
2025-04-25,0.004367221263343435
2025-04-28,0.004109375580146679
2025-04-29,0.005091821959763321
2025-04-30,0.006107664653832723
2025-05-01,0.0038588738658813515
2025-05-02,-0.037361741757710676
2025-05-05,-0.03145849927117084
2025-05-06,-0.0019106906696092496
2025-05-07,-0.011384763377168206
2025-05-08,0.006318533035958307
2025-05-09,0.0052660880535218
2025-05-12,0.0631461689965549
2025-05-13,0.010152280585241646
2025-05-14,-0.0028178257737542234
2025-05-15,-0.004144470399045197
2025-05-16,-0.0008985774907132038
2025-05-19,-0.01173908704907789
2025-05-20,-0.009196248361484471
2025-05-21,-0.023059121838798213
2025-05-22,-0.0036122485818445016
2025-05-23,-0.03024427887573744
2025-05-27,0.025298317070217013
2025-05-28,0.0010488254734115632
2025-05-29,-0.00234507522388816
2025-05-30,0.004501160816033689
2025-06-02,0.00423197959474253
2025-06-03,0.007783846649397352
2025-06-04,-0.00221374660210516
2025-06-05,-0.010797740805414402
2025-06-06,0.016398266946651363
2025-06-09,-0.012112562253018933
2025-06-10,0.00605607184084711
2025-06-11,-0.019193760456297837
2025-06-12,0.002112895022762018
2025-06-13,-0.013805244367089187
2025-06-16,0.010028031208825672
2025-06-17,-0.014010719296581597
2025-06-18,0.004804743182752258
2025-06-20,0.02248450514132916
2025-06-23,0.002487573343361582
2025-06-24,-0.005955331300461553
2025-06-25,0.0062905831155934955
2025-06-26,-0.0027783626191049127
2025-06-27,0.00039801477495893245
2025-06-30,0.020340134193924664
2025-07-01,0.012916154224275056
2025-07-02,0.022230770203315764
2025-07-03,0.005225041050401336
2025-07-07,-0.016857939297312052
2025-07-08,0.0002858039892503772
2025-07-09,0.005380715910463962
