2025-04-01,57633.83298677139,2375.719999999993,0.0,12486.862986771399
2025-04-02,56636.96136963582,2375.719999999993,0.0,11489.991369635829
2025-04-03,57073.56988311966,2375.719999999993,0.0,11926.599883119667
2025-04-04,56223.23910250835,2375.719999999993,0.0,11076.269102508357
2025-04-07,52553.79079877327,2375.719999999993,0.0,7406.8207987732785
2025-04-08,55167.68651814128,2375.719999999993,0.0,10020.716518141282
2025-04-09,51809.78620310032,2375.719999999993,0.0,6662.816203100321
2025-04-10,54557.4900805979,2375.719999999993,0.0,9410.520080597904
2025-04-11,53802.626729016425,2375.719999999993,0.0,8655.65672901643
2025-04-14,55083.9992730871,2375.719999999993,0.0,9937.029273087112
2025-04-15,55480.82467255975,2375.719999999993,0.0,10333.854672559752
2025-04-16,55143.585245509836,2375.719999999993,0.0,9996.615245509844
2025-04-17,54171.54240344516,2375.719999999993,0.0,9024.572403445167
2025-04-21,nan,2375.719999999993,0.0,nan
2025-04-22,53880.68981867965,2375.719999999993,0.0,8733.71981867966
2025-04-23,54932.42469688431,2375.719999999993,0.0,9785.454696884311
2025-04-24,54783.2437897436,2375.719999999993,0.0,9636.27378974361
2025-04-25,55359.746691853026,2375.719999999993,0.0,10212.776691853036
2025-04-28,55833.26405051179,2375.719999999993,0.0,10686.294050511793
2025-04-29,55745.802227588625,2375.719999999993,0.0,10598.832227588633
2025-04-30,56281.606059395766,2375.719999999993,0.0,11134.636059395769
2025-05-01,nan,2375.719999999993,0.0,nan
2025-05-02,56678.73411360467,2375.719999999993,0.0,11531.764113604673
2025-05-05,56510.55517137464,2375.719999999993,0.0,11363.585171374645
2025-05-06,55756.818812207246,2375.719999999993,0.0,10609.848812207252
2025-05-07,54835.47466549015,2375.719999999993,0.0,9688.504665490154
2025-05-08,54553.40380439537,2375.719999999993,0.0,9406.433804395374
2025-05-09,54517.6561570758,2375.719999999993,0.0,9370.686157075808
2025-05-12,53745.63255949752,2375.719999999993,0.0,8598.662559497527
2025-05-13,54404.62737986331,2375.719999999993,0.0,9257.657379863318
2025-05-14,53782.190273469365,2375.719999999993,0.0,8635.220273469373
2025-05-15,52671.78613349263,2375.719999999993,0.0,7524.816133492632
2025-05-16,53660.47025246388,2375.719999999993,0.0,8513.50025246388
2025-05-19,54142.04282110067,2375.719999999993,0.0,8995.072821100679
2025-05-20,54598.30182007829,2375.719999999993,0.0,9451.331820078298
2025-05-21,54467.78019275917,2375.719999999993,0.0,9320.81019275918
2025-05-22,53448.78767688147,2375.719999999993,0.0,8301.817676881474
2025-05-23,53020.49666257689,2375.719999999993,0.0,7873.526662576893
2025-05-26,nan,2375.719999999993,0.0,nan
2025-05-27,53714.592398727946,2375.719999999993,0.0,8567.622398727954
2025-05-28,53780.03615817129,2375.719999999993,0.0,8633.0661581713
2025-05-29,nan,2375.719999999993,0.0,nan
2025-05-30,53587.78176728688,2375.719999999993,0.0,8440.811767286881
2025-06-02,53687.23123887795,2375.719999999993,0.0,8540.261238877958
2025-06-03,53831.16180709315,2375.719999999993,0.0,8684.191807093159
2025-06-04,54292.8146253966,2375.719999999993,0.0,9145.8446253966
2025-06-05,54192.39350047979,2375.719999999993,0.0,9045.423500479794
2025-06-06,54344.127072479,2375.719999999993,0.0,9197.157072479005
2025-06-09,nan,2375.719999999993,0.0,nan
2025-06-10,54496.624953112485,2375.719999999993,0.0,9349.654953112493
2025-06-11,54855.42415782949,2375.719999999993,0.0,9708.454157829492
2025-06-12,54932.25016325475,2375.719999999993,0.0,9785.28016325476
2025-06-13,54819.509275308425,2375.719999999993,0.0,9672.539275308429
2025-06-16,54963.64713116749,2375.719999999993,0.0,9816.6771311675
2025-06-17,54254.37333303212,2375.719999999993,0.0,9107.403333032129
